author_collaborator,name,organizational_affiliation,optional_email_Department,last_active
A:,"Roos, Christopher I.",Southern Methodist University,,2021-05-01
A:,"Rother, Monica T.","University of North Carolina, Wilmington",,2020-11-01
A:,"Sadegh, Mojtaba",Boise State University,,2022-04-01
A:,"Safford, Hugh",US Forest Service,,2022-04-01
A:,"Saladyga, Thomas",Concord University,,2022-04-01
A:,"Santos, Fernanda",Oak Ridge National Laboratory,,2022-04-01
A:,"Sauchyn, Dave","University of Regina, Regina, SK, Canada",,2020-05-01
A:,"Schmidt, Micah R.",Oregon State University,,2022-04-01
A:,"Schwilk, Dylan",Texas Tech University,,2022-04-01
A:,"Scordo, Facundo",CONICET – Instituto Argentino de Oceanografía,,2022-04-01
A:,"Sexton, Joseph O.","terraPulse, Inc.",,2022-04-01
A:,"Sharma, A. Surjalal",University of Maryland,,2022-04-01
A:,"Shaw, John D.",US Forest Service,,2020-05-01
A:,"Sheppard, Paul R.",University of Arizona,,2021-04-01
A:,"Sherriff, Rosemary L.",Humboldt State University,,2022-04-01
A:,"Shuman, Jacquelyn",National Center for Atmospheric Research,,2022-04-01
A:,"Smith, Alistair M.S.",University of Idaho,,2022-04-01
A:,"Smith, Dan J.","University of Victoria, Victoria, BC, Canada",,2020-05-01
A:,"Soja, Amber",NASA Langley Research Center,,2022-04-01
A:,"Speer, James H.",Indiana State University,,2022-04-01
A:,"Stachowiak, Lauren A.",Eastern Washington University,,2022-04-01
A:,"Stambaugh, Michael",University of Missouri,,2022-04-01
A:,"Stan, Amanda B.",Northern Arizona University,,2022-04-01
A:,"Stavros, Natasha E.",University of Colorado Boulder,,2022-04-01
A:,"Stephens, Scott","University of California, Berkeley",,2022-04-01
A:,"Stevens, Jens T.",U.S. Geological Survey,,2022-04-01
A:,"Still, Christopher",Oregon State University,,2022-04-01
A:,"Sutheimer, Colleen",University of Wisconsin-Madison,,2022-04-01
A:,"Swetnam, Thomas W.",University of Arizona,,2020-06-01
A:,"Swetnam, Tyson",University of Arizona,,2022-04-01
A:,"Syphard, Alexandra D.",Vertus Wildfire,,2022-04-01
A:,"Taylor, Alan",The Pennsylvania State University,,2022-04-01
A:,"Taylor, Erana J.",University of Arizona,,2022-04-01
A:,"Tepley, Alan J.",Canadian Forest Service,,2022-04-01
A:,"Thapa, Ichchha",Indiana State University,,2022-04-01
A:,"Tingey, Morgan W.","University of California, Los Angeles",,2022-04-01
A:,"Tohidi, Ali",San Jose State University,,2022-04-01
A:,"Touchan, Ramzi",University of Arizona,,2022-04-01
A:,"Trouet, Valerie",University of Arizona,,2022-04-01
A:,"Trugman, Anna",University of California Santa Barbara,,2022-04-01
C:,"Tsosie, William",Navajo Nation,,2022-01-01
A:,"Turetsky, Merritt","INSTAAR, University of Colorado Boulder",,2022-04-01
A:,"van Mantgem, Phillip J.",U.S. Geological Survey,,2022-04-01
A:,"Varner, Morgan J.",Tall Timbers Research Station,,2022-04-01
A:,"Villanueva-Diaz, Jose","Instituto Nacional de Investigaciones Forestales y Agropecuarias, CENID-RASPA, Gomez Palacio, Mexico",,2020-05-01
A:,"Villarreal, Miguel L.",U.S. Geological Survey,,2022-04-01
A:,"Wang, Yuhang",Georgia Institute of Technology,,2022-04-01
A:,"Weisberg, Peter J.","University of Nevada, Reno",,2022-04-01
A:,"Welch, John R.",Simon Frasier University,,2021-01-01
A:,"Whitman, Thea",University of Wisconsin-Madison,,2022-04-01
A:,"Wilcox, Craig",US Forest Service,,2022-04-01
A:,"Wood, Lisa",University of Northern British Columbia,,2020-05-01
A:,"Woodhouse, Connie",University of Arizona,,2021-04-01
A:,"Yelenik, Stephanie",US Forest Service,,2022-04-01
A:,"Yocom, Larissa L.",Utah State University,,2022-04-01
A:,"Young, Derek J.",University of California Davis,,2022-04-01
A:,"Zhang, Xuan",University of California Merced,,2022-04-01
